id, username, order_value
1, username 1, 25.031847774980186
2, username 2, 79.3767528547903
3, username 3, 76.0974918462149
4, username 4, 96.82965269773469
5, username 5, 90.54106263899966
6, username 6, 9.59440510004611
7, username 7, 45.57750876609036
8, username 8, 85.51976339884561
9, username 9, 73.5322126416259
10, username 10, 9.725397741880881
11, username 11, 39.2064184193623
12, username 12, 16.571823826108968
13, username 13, 75.34880111168371
14, username 14, 13.81711707641623
15, username 15, 92.02970304238482
16, username 16, 8.898793067820343
17, username 17, 74.06400743740812
18, username 18, 88.62374172265261
19, username 19, 92.30527520264995
20, username 20, 80.73904216807868
21, username 21, 27.089779435041372
22, username 22, 27.390096241782082
23, username 23, 47.719233922286776
24, username 24, 94.10184383479174
25, username 25, 66.50741251903187
26, username 26, 52.66245438036285
27, username 27, 67.00980100305046
28, username 28, 45.9535163360389
29, username 29, 66.91173861704155
30, username 30, 57.50424032354119
31, username 31, 10.030295039874314
32, username 32, 61.91195346879519
33, username 33, 97.69679893674618
34, username 34, 55.63577311282517
35, username 35, 40.178383266279425
36, username 36, 64.2167246353645
37, username 37, 30.163402088850567
38, username 38, 18.154082036187937
39, username 39, 15.576032016781271
40, username 40, 33.2972331254875
41, username 41, 96.7966499357959
42, username 42, 94.77479832399234
43, username 43, 63.87191595570161
44, username 44, 4.368941215869871
45, username 45, 70.8077206234489
46, username 46, 37.73871506411422
47, username 47, 88.84033219491208
48, username 48, 34.84530275570822
49, username 49, 59.565557639677024
50, username 50, 67.8977659251925
