id, username, order_value
1, username 1, 44.316797881050206
2, username 2, 25.1839633703968
3, username 3, 10.962547972219571
4, username 4, 1.3359114068032474
5, username 5, 89.3463251999298
6, username 6, 45.89230505117266
7, username 7, 34.358093431610556
8, username 8, 0.23642937120750274
9, username 9, 67.72476407025717
10, username 10, 36.53335499052625
11, username 11, 62.926701546844875
12, username 12, 48.449903754502174
13, username 13, 40.640052644850996
14, username 14, 98.36409016535703
15, username 15, 93.05755486644043
16, username 16, 46.40992149851337
17, username 17, 94.84873312273588
18, username 18, 40.66406395413649
19, username 19, 81.84861295186103
20, username 20, 25.884794994328974
21, username 21, 73.9911577957207
22, username 22, 7.992505066166988
23, username 23, 97.24928522085862
24, username 24, 58.99865010461694
25, username 25, 79.11500509160928
26, username 26, 38.54604061565623
27, username 27, 59.743442425023375
28, username 28, 81.78214035001278
29, username 29, 40.69341577146203
30, username 30, 56.01618541821895
31, username 31, 41.86912236713787
32, username 32, 74.53288261389302
33, username 33, 25.25255183125974
34, username 34, 21.04894870617583
35, username 35, 57.372890766600804
36, username 36, 19.345755443551692
37, username 37, 12.532442961782142
38, username 38, 36.823014162553456
39, username 39, 72.70872315626433
40, username 40, 65.75537082739342
41, username 41, 39.942997145056516
42, username 42, 11.803827441301529
43, username 43, 33.96891572104519
44, username 44, 62.813710051645685
45, username 45, 28.840515014026213
46, username 46, 68.377951070787
47, username 47, 26.760299613140106
48, username 48, 74.2293993729637
49, username 49, 77.12754308984769
50, username 50, 92.1424694633888
51, username 51, 18.128562018790838
52, username 52, 10.139296785610219
53, username 53, 13.854003926661807
54, username 54, 59.3676051809819
55, username 55, 73.9274744783394
56, username 56, 82.54849882375039
57, username 57, 45.55978899329667
58, username 58, 36.68007823109735
59, username 59, 99.70582530287888
60, username 60, 51.9446271536575
61, username 61, 15.113977969393911
62, username 62, 47.509203657050435
63, username 63, 94.43356611617293
64, username 64, 35.091755630427734
65, username 65, 15.776710895273794
66, username 66, 4.047154252906537
67, username 67, 23.624302366310836
68, username 68, 22.391975645756858
69, username 69, 83.34312217541473
70, username 70, 86.74184316881075
71, username 71, 36.180214201801384
72, username 72, 36.01547324277175
73, username 73, 14.882447137885258
74, username 74, 75.69021861676191
75, username 75, 18.389425091806867
76, username 76, 53.91064159729332
77, username 77, 4.428263673452671
78, username 78, 93.54991233711152
79, username 79, 69.58614988421701
80, username 80, 58.63247864297946
81, username 81, 76.62851661767345
82, username 82, 83.8800253596833
83, username 83, 86.00705632657235
84, username 84, 51.920420606004534
85, username 85, 13.952761678817327
86, username 86, 86.36345240628368
87, username 87, 21.5301369176252
88, username 88, 79.74783359916566
89, username 89, 15.801546875759575
90, username 90, 62.11101391042549
91, username 91, 35.24672897941704
92, username 92, 28.99600933322455
93, username 93, 27.673951855460977
94, username 94, 52.063876840502665
95, username 95, 10.73192176006038
96, username 96, 10.439163657604455
97, username 97, 84.76366816296087
98, username 98, 7.5964905885144045
99, username 99, 47.675796668126715
100, username 100, 89.81775699947111
